Код ТН ВЭД,Наименование позиции,Доп. ед. изм.,Ставка ввозной таможенной пошлины *
302111000,– – – вида Oncorhynchus apache или Oncorhynchus chrysogaster,-,"0,03"
302112000,"– – – вида Oncorhynchus mykiss, с головой и жабрами, без внутренностей, массой более 1,2 кг каждая, или без головы, жабр и внутренностей, массой более 1 кг каждая",-,"0,03"
302118000,– – – прочая,-,"0,03"
302130000,"– – лосось тихоокеанский (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou и Oncorhynchus rhodurus)",-,"0,03"
302140000,– – лосось атлантический (Salmo salar) и лосось дунайский (Hucho hucho),-,"0,03"
302190000,– – прочие,-,"0,06"
30220,"– [с 01.01.17] камбалообразные (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae и Citharidae), за исключением пищевых рыбных субпродуктов субпозиций 0302 91 - 0302 99/[по 31.12.16] камбалообразные (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae и Citharidae), за исключением печени, икры и молок",,
302210000,"– – палтус (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",,
302211000,"– – – палтус черный, или палтус синекорый (Reinhardtius hippoglossoides)",-,"0,08"
302213000,"– – – палтус белокорый, или обыкновенный (Hippoglossus hippoglossus)",-,"0,08"
302219000,– – – палтус тихоокеанский (Hippoglossus stenolepis),-,"0,08"
302220000,– – камбала морская (Pleuronectes platessa),-,"0,08"
302230000,– – морской язык (Solea spp.),-,"0,08"
302240000,– – тюрбо (Psetta maxima),-,"0,08"
302290000,– – прочие,,
302291000,– – – мегрим (Lepidorhombus spp.),-,"0,08"
302298000,– – – прочие,-,"0,08"
30230,"– [с 01.01.22] тунец (рода Thunnus), тунец полосатый (скипджек, полосатый бонито) (Katsuwonus pelamis), за исключением пищевых рыбных субпродуктов субпозиций 0302 91 - 0302 99/[по 31.12.21] тунец (рода Thunnus), скипджек, или тунец полосатый (Euthynnus (Katsuwonus) pelamis), за исключением пищевых рыбных субпродуктов субпозиций 0302 91 - 0302 99",,
302310000,"– – тунец длинноперый, или альбакор (Thunnus alalunga)",,
302311000,– – – для промышленного производства продуктов товарной позиции 1604,-,"0,05"
302319000,– – – прочий,-,"0,05"
302320000,– – тунец желтоперый (Thunnus albacares),,
302321000,– – – для промышленного производства продуктов товарной позиции 1604,-,"0,05"
302329000,– – – прочий,-,"0,05"
302330000,"– – [с 01.01.22] тунец полосатый (скипджек, полосатый бонито) (Katsuwonus pelamis)/[по 31.12.21] скипджек, или тунец полосатый",,
302331000,– – – для промышленного производства продуктов товарной позиции 1604,-,"0,08"
302339000,– – – прочий,-,"0,08"
302340000,– – тунец большеглазый (Thunnus obesus),,
302341000,– – – для промышленного производства продуктов товарной позиции 1604,-,"0,06"
302349000,– – – прочий,-,"0,06"
302350000,"– – тунец синий, или обыкновенный, и тунец тихоокеанский голубой (Thunnus thynnus, Thunnus orientalis)",,
302351000,"– – – тунец синий, или обыкновенный (Thunnus thynnus)",,
302351100,– – – – для промышленного производства продуктов товарной позиции 1604,-,"0,06"
302351900,– – – – прочий,-,"0,06"
302359000,– – – тунец тихоокеанский голубой (Thunnus orientalis),,
302359100,– – – – для промышленного производства продуктов товарной позиции 1604,-,"0,06"
302359900,– – – – прочий,-,"0,06"
302360000,– – тунец южный синий (Thunnus maccoyii),,
302361000,– – – для промышленного производства продуктов товарной позиции 1604,-,"0,06"
302369000,– – – прочий,-,"0,06"
302390000,– – прочие,,
302392000,– – – для промышленного производства продуктов товарной позиции 1604,-,"0,06"
302398000,– – – прочие,-,"0,06"
30240,"– [с 01.01.17] сельдь (Clupea harengus, Clupea pallasii), анчоусы (Engraulis spp.), сардины (Sardina pilchardus, Sardinops spp.), сардинелла (Sardinella spp.), кильки или шпроты (Sprattus sprattus), скумбрия (Scomber scombrus, Scomber australasicus, Scomber japonicus), скумбрии тропические (Rastrelliger spp.), макрели (Scomberomorus spp.), ставрида (Trachurus spp.), каранкс (Caranx spp.), кобия (Rachycentron canadum), рыба-зеркало (Pampus spp.), сайра тихоокеанская (Cololabis saira), десятиперая ставрида (Decapterus spp.), мойва (Mallotus villosus), меч-рыба (Xiphias gladius), тунец малый пятнистый (Euthynnus affinis), пеламида (Sarda spp.), рыбы семейства Istiophoridae (марлины, парусники, копьеносцы), за исключением пищевых рыбных субпродуктов субпозиций 0302 91 - 0302 99/[по 31.12.16] сельдь (Clupea harengus, Clupea pallasii), анчоусы (Engraulis spp.), сардины (Sardina pilchardus, Sardinops spp.), сардинелла (Sardinella spp.), кильки или шпроты (Sprattus sprattus), скумбрия (Scomber scombrus, Scomber australasicus, Scomber japonicus), ставрида (Trachurus spp.), кобия (Rachycentron canadum) и меч-рыба (Xiphias gladius), за исключением печени, икры и молок",,
302410000,"– – сельдь (Clupea harengus, Clupea pallasii)",-,"0,05"
302420000,– – анчоусы (Engraulis spp.),-,"0,06"
302430000,"– – сардины (Sardina pilchardus, Sardinops spp.), сардинелла (Sardinella spp.), кильки или шпроты (Sprattus sprattus)",,
302431000,– – – сардины вида Sardina pilchardus,-,"0,08"
302433000,– – – сардины рода Sardinops; сардинелла (Sardinella spp.),-,"0,08"
302439000,– – – кильки или шпроты (Sprattus sprattus),-,"0,08"
302440000,"– – скумбрия (Scomber scombrus, Scomber australasicus, Scomber japonicus)",-,"0,05"
302450000,– – ставрида (Trachurus spp.),,
302451000,– – – ставрида обыкновенная (Trachurus trachurus),-,"0,06"
302453000,– – – ставрида перуанская (Trachurus murphyi),-,"0,06"
302459000,– – – прочая,-,"0,06"
302460000,– – кобия (Rachycentron canadum),-,"0,06"
302470000,– – меч-рыба (Xiphias gladius),-,"0,06"
302490000,– – прочая,,
302491000,– – – тунец малый пятнистый (Euthynnus affinis),,
302491100,– – – – для промышленного производства продуктов товарной позиции 1604,-,"0,06"
302491900,– – – – прочий,-,"0,06"
302499000,– – – прочая,,
302499001,– – – – мойва (Mallotus villosus),-,0
302499009,– – – – прочая,-,"0,06"
30250,"– [с 01.01.17] рыба семейств Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae и Muraenolepididae, за исключением пищевых рыбных субпродуктов субпозиций 0302 91 - 0302 99/[по 31.12.16] рыба семейств Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae и Muraenolepididae, за исключением печени, икры и молок",,
302510000,"– – треска (Gadus morhua, Gadus ogac, Gadus macrocephalus)",,
302511000,– – – вида Gadus morhua,-,"0,05"
302519000,– – – прочая,-,"0,05"
302520000,– – пикша (Melanogrammus aeglefinus),-,"0,05"
302530000,– – сайда (Pollachius virens),-,0
302540000,– – мерлуза (Merluccius spp.) и американский нитеперый налим (Urophycis spp.),,
302541000,– – – мерлуза рода Merluccius,,
302541100,– – – – мерлуза капская (мелководная) (Merluccius capensis) и мерлуза намибийская (глубоководная) (Merluccius paradoxus),-,"0,06"
302541500,– – – – мерлуза новозеландская (Merluccius australis),-,"0,06"
302541900,– – – – прочая,-,"0,06"
302549000,– – – американский нитеперый налим рода Urophycis,-,"0,06"
302550000,– – минтай (Theragra chalcogramma),-,"0,06"
302560000,"– – путассу (Micromesistius poutassou, Micromesistius australis)",-,"0,06"
302590000,– – прочая,,
302591000,– – – рыба вида Boreogadus saida,-,"0,06"
302592000,– – – мерланг (Merlangius merlangus),-,"0,06"
302593000,– – – сайда серебристая (Pollachius pollachius),-,"0,06"
302594000,– – – мольва (Molva spp.),-,"0,06"
302599000,– – – прочая,-,"0,06"
30270,"– [с 01.01.17] тилапия (Oreochromis spp.), сом (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карп (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), угорь (Anguilla spp.), латес нильский (Lates niloticus) и змееголов (Channa spp.), за исключением пищевых рыбных субпродуктов субпозиций 0302 91 - 0302 99/[по 31.12.16] тилапия (Oreochromis spp.), сом (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карп (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), угорь (Anguilla spp.), латес нильский (Lates niloticus) и змееголов (Channa spp.), за исключением печени, икры и молок",,
302710000,– – тилапия (Oreochromis spp.),-,"0,06"
302720000,"– – сом (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",-,"0,06"
302730000,"– – [с 01.01.17] карп (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)/[по 31.12.16] карп (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)",-,"0,06"
302740000,– – угорь (Anguilla spp.),-,"0,08"
302790000,– – прочая,-,"0,06"
30280,"– [с 01.01.17] рыба прочая, за исключением пищевых рыбных субпродуктов субпозиций 0302 91 - 0302 99/[по 31.12.16] рыба прочая, за исключением печени, икры и молок",,
302810000,– – акулы,,
302811000,– – – акула вида Squalus acanthias,-,"0,08"
302812000,– – – акула видов Scyliorhinus spp.,-,"0,08"
302813000,– – – акула сельдевая (Lamna nasus),-,"0,08"
302819000,– – – прочие,-,"0,08"
302820000,"– – [с 27.07.19] скаты и ромбовые скаты (Rajidae)/[по 26.07.19] скатовые, или ромбовые скаты (Rajidae)",-,"0,06"
302830000,– – клыкач (Dissostichus spp.),-,"0,06"
302840000,– – лаврак (Dicentrarchus spp.),,
302841000,– – – морской волк (Dicentrarchus labrax),-,"0,06"
302849000,– – – прочий,-,"0,06"
302850000,"– – спаровые, или морские караси (Sparidae)",,
302851000,– – – видов Dentex dentex и Pagellus spp.,-,"0,06"
302853000,– – – аурата (Sparus aurata),-,"0,06"
302859000,– – – прочие,-,"0,06"
302890000,– – прочая,,
302891000,– – – пресноводная рыба,,
302891000,– – – – осетровые,,
302891000,– – – – – для промышленного производства продуктов товарной позиции 1604,,
302891010,– – – – – – неразделанные,-,"0,06"
302891020,– – – – – – без жабр и внутренностей,-,"0,06"
302891030,– – – – – – прочей разделки,-,"0,06"
302891060,– – – – – прочие,-,"0,06"
302891070,– – – – прочая,-,"0,06"
302892000,– – – прочая,,
302892000,"– – – – [с 01.01.22] рыба рода Euthynnus, кроме тунца полосатого (скипджека, полосатого бонито) (Katsuwonus pelamis), субпозиции 0302 33 и тунца малого пятнистого (Euthynnus affinis) подсубпозиций 0302 49 110 0, 0302 49 190 0/[по 31.12.21] рыба рода Euthynnus, кроме скипджека, или тунца полосатого (Euthynnus (Katsuwonus) pelamis), субпозиции 0302 33 и тунца малого пятнистого (Euthynnus affinis) подсубпозиций 0302 49 110 0, 0302 49 190 0",,
302892100,– – – – – для промышленного производства продуктов товарной позиции 1604,-,"0,06"
302892900,– – – – – прочая,-,"0,06"
302893000,– – – – окунь морской (Sebastes spp.),,
302893100,– – – – – вида Sebastes marinus,-,"0,05"
302893900,– – – – – прочий,-,"0,05"
302894000,– – – – лещ морской обыкновенный (Brama spp.),-,"0,06"
302895000,– – – – удильщик (Lophius spp.),-,"0,06"
302896000,– – – – конгрио черный (Genypterus blacodes),-,"0,06"
302899000,– – – – прочая,-,"0,06"
30290,"– печень, икра, молоки, плавники, головы, хвосты, плавательные пузыри и прочие пищевые рыбные субпродукты",,
302910000,"– – печень, икра и молоки",-,"0,05"
302920000,– – плавники акульи,-,"0,08"
302990000,– – прочие,,
302990001,"– – – форели (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache и Oncorhynchus chrysogaster), лосося тихоокеанского (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou и Oncorhynchus rhodurus), лосося атлантического (Salmo salar) и лосося дунайского (Hucho hucho)",-,"0,03"
302990002,– – – акульи,-,"0,08"
302990003,"– – – [с 01.01.22] камбалообразных семейств Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae и Citharidae, тунца вида Katsuwonus pelamis, сардины вида Sardina pilchardus, сардины рода Sardinops, сардинеллы видов Sardinella spp., кильки или шпрот вида Sprattus sprattus, угря видов Anguilla spp./[по 31.12.21] камбалообразных семейств Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae и Citharidae, тунца вида Euthynnus (Katsuwonus) pelamis, сардины вида Sardina pilchardus, сардины рода Sardinops, сардинеллы видов Sardinella spp., кильки или шпрот вида Sprattus sprattus, угря видов Anguilla spp.",-,"0,08"
302990004,"– – – тунца видов Thunnus alalunga, Thunnus albacares, сельди видов Clupea harengus, Clupea pallasii, скумбрии видов Scomber scombrus, Scomber australasicus, Scomber japonicus",-,"0,05"
302990005,"– – – сайды (Pollachius virens), мойвы (Mallotus villosus)",-,0
302990006,"– – – трески (Gadus morhua, Gadus ogac, Gadus macrocephalus), пикши (Melanogrammus aeglefinus), окуня морского (Sebastes spp.)",-,"0,05"
302990009,– – – прочие,-,"0,06"
303,"Рыба мороженая, за исключением рыбного филе и прочего мяса рыбы товарной позиции 0304",,
30310,"– [с 01.01.17] лососевые, за исключением пищевых рыбных субпродуктов субпозиций 0303 91 - 0303 99/[по 31.12.16] лососевые, за исключением печени, икры и молок",,
303110000,"– – красная, или нерка (Oncorhynchus nerka)",-,"0,07"
303120000,"– – лосось тихоокеанский прочий (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou и Oncorhynchus rhodurus)",-,"0,07"
303130000,– – лосось атлантический (Salmo salar) и лосось дунайский (Hucho hucho),-,"0,03"
303140000,"– – форель (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache и Oncorhynchus chrysogaster)",,
303141000,– – – вида Oncorhynchus apache или Oncorhynchus chrysogaster,-,"0,03"
303142000,"– – – вида Oncorhynchus mykiss, с головой и жабрами, без внутренностей, массой более 1,2 кг каждая или без головы, жабр и внутренностей, массой более 1 кг каждая",-,"0,03"
303149000,– – – прочая,-,"0,03"
303190000,– – прочие,-,"0,03"
30320,"– [с 01.01.17] тилапия (Oreochromis spp.), сом (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карп (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), угорь (Anguilla spp.), латес нильский (Lates niloticus) и змееголов (Channa spp.), за исключением пищевых рыбных субпродуктов субпозиций 0303 91 - 0303 99/[по 31.12.16] тилапия (Oreochromis spp.), сом (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), карп (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), угорь (Anguilla spp.), латес нильский (Lates niloticus) и змееголов (Channa spp.), за исключением печени, икры и молок",,
303230000,– – тилапия (Oreochromis spp.),-,"0,06"
303240000,"– – сом (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",-,"0,06"
303250000,"– – [с 01.01.17] карп (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)/[по 31.12.16] карп (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)",-,"0,06"
303260000,– – угорь (Anguilla spp.),-,"0,08"
303290000,– – прочая,-,"0,06"
30330,"– [с 01.01.17] камбалообразные (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae и Citharidae), кроме пищевых рыбных субпродуктов субпозиций 0303 91 - 0303 99/[по 31.12.16] камбалообразные (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae и Citharidae), за исключением печени, икры и молок",,
303310000,"– – палтус (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",,
303311000,"– – – палтус черный, или палтус синекорый (Reinhardtius hippoglossoides)",-,"0,04"
303313000,"– – – палтус белокорый, или обыкновенный (Hippoglossus hippoglossus)",-,"0,06"
303319000,– – – палтус тихоокеанский (Hippoglossus stenolepis),-,"0,05"
303320000,– – камбала морская (Pleuronectes platessa),-,"0,08"
303330000,– – морской язык (Solea spp.),-,"0,06"
303340000,– – тюрбо (Psetta maxima),-,"0,08"
303390000,– – прочие,,
303391000,– – – [с 01.01.17] камбала речная (Platichthys flesus)/[по 31.12.16] камбала (Platichthys flesus),-,"0,08"
303393000,– – – рыба рода Rhombosolea,-,"0,08"
303395000,– – – рыба вида Pelotreis flavilatus или Peltorhamphus novaezealandiae,-,"0,07"
303398500,– – – прочие,-,"0,08"
30340,"– [с 01.01.22] тунец (рода Thunnus), тунец полосатый (скипджек, полосатый бонито) (Katsuwonus pelamis), за исключением пищевых рыбных субпродуктов субпозиций 0303 91 - 0303 99/[по 31.12.21] тунец (рода Thunnus), скипджек, или тунец полосатый (Euthynnus (Katsuwonus) pelamis), за исключением пищевых рыбных субпродуктов субпозиций 0303 91 - 0303 99",,
303410000,"– – тунец длинноперый, или альбакор (Thunnus alalunga)",,
303411000,– – – для промышленного производства продуктов товарной позиции 1604,-,"0,06"
303419000,– – – прочий,-,"0,06"
303420000,– – тунец желтоперый (Thunnus albacares),,
303420000,– – – для промышленного производства продуктов товарной позиции 1604,,
303421000,– – – – неразделанный,,
303421200,– – – – – массой более 10 кг каждый,-,"0,05"
303421800,– – – – – прочий,-,"0,05"
303424000,– – – – прочий,,
303424200,– – – – – массой более 10 кг каждый,-,"0,05"
303424800,– – – – – прочий,-,"0,05"
303429000,– – – прочий,-,"0,06"
303430000,"– – [с 01.01.22] тунец полосатый (скипджек, полосатый бонито) (Katsuwonus pelamis)/[по 31.12.21] скипджек, или тунец полосатый",,
303431000,– – – для промышленного производства продуктов товарной позиции 1604,-,"0,08"
303439000,– – – прочий,-,"0,08"
303440000,– – тунец большеглазый (Thunnus obesus),,
303441000,– – – для промышленного производства продуктов товарной позиции 1604,-,"0,08"
303449000,– – – прочий,-,"0,08"
303450000,"– – тунец синий, или обыкновенный, и тунец тихоокеанский голубой (Thunnus thynnus, Thunnus orientalis)",,
303451000,"– – – тунец синий, или обыкновенный (Thunnus thynnus)",,
303451200,– – – – для промышленного производства продуктов товарной позиции 1604,-,"0,08"
303451800,– – – – прочий,-,"0,08"
303459000,– – – тунец тихоокеанский голубой (Thunnus orientalis),,
303459100,– – – – для промышленного производства продуктов товарной позиции 1604,-,"0,08"
303459900,– – – – прочий,-,"0,08"
303460000,– – тунец южный синий (Thunnus maccoyii),,
303461000,– – – для промышленного производства продуктов товарной позиции 1604,-,"0,08"
303469000,– – – прочий,-,"0,08"
303490000,– – прочий,,
303492000,– – – для промышленного производства продуктов товарной позиции 1604,-,"0,08"
303498500,– – – прочий,-,"0,08"
30350,"– [с 01.01.17] сельдь (Clupea harengus, Clupea pallasii), анчоусы (Engraulis spp.), сардины (Sardina pilchardus, Sardinops spp.), сардинелла (Sardinella spp.), кильки или шпроты (Sprattus sprattus), скумбрия (Scomber scombrus, Scomber australasicus, Scomber japonicus), скумбрии тропические (Rastrelliger spp.), макрели (Scomberomorus spp.), ставрида (Trachurus spp.), каранкс (Caranx spp.), кобия (Rachycentron canadum), рыба-зеркало (Pampus spp.), сайра тихоокеанская (Cololabis saira), десятиперая ставрида (Decapterus spp.), мойва (Mallotus villosus), меч-рыба (Xiphias gladius), тунец малый пятнистый (Euthynnus affinis), пеламида (Sarda spp.), рыбы семейства Istiophoridae (марлины, парусники, копьеносцы), за исключением пищевых рыбных субпродуктов субпозиций 0303 91 - 0303 99/[по 31.12.16] сельдь (Clupea harengus, Clupea pallasii), сардины (Sardina pilchardus, Sardinops spp.), сардинелла (Sardinella spp.), кильки или шпроты (Sprattus sprattus), скумбрия (Scomber scombrus, Scomber australasicus, Scomber japonicus), ставрида (Trachurus spp.), кобия (Rachycentron canadum) и меч-рыба (Xiphias gladius), за исключением печени, икры и молок",,
303510000,"– – сельдь (Clupea harengus, Clupea pallasii)",-,
303530000,"– – сардины (Sardina pilchardus, Sardinops spp.), сардинелла (Sardinella spp.), кильки или шпроты (Sprattus sprattus)",,
303531000,– – – сардины вида Sardina pilchardus,-,"0,06"
303533000,– – – сардины рода Sardinops; сардинелла (Sardinella spp.),-,"0,06"
303539000,– – – кильки или шпроты (Sprattus sprattus),-,"0,06"
303540000,"– – скумбрия (Scomber scombrus, Scomber australasicus, Scomber japonicus)",,
303541000,– – – вида Scomber scombrus или Scomber japonicus,-,
303549000,– – – вида Scomber australasicus,-,
303550000,– – ставрида (Trachurus spp.),,
303551000,– – – ставрида обыкновенная (Trachurus trachurus),-,
303553000,– – – ставрида перуанская (Trachurus murphyi),-,"0,06"
303559000,– – – прочая,,
303559002,– – – – ставрида вида Caranx trachurus,-,
303559008,– – – – прочая,-,"0,06"
303560000,– – кобия (Rachycentron canadum),-,"0,06"
303570000,– – меч-рыба (Xiphias gladius),-,"0,05"
303590000,– – прочие,,
303591000,– – – анчоусы (Engraulis spp.),-,"0,08"
303592000,– – – тунец малый пятнистый (Euthynnus affinis),,
303592100,– – – – для промышленного производства продуктов товарной позиции 1604,,
303592101,– – – – – неразделанный,-,"0,08"
303592102,– – – – – без жабр и внутренностей,-,"0,08"
303592109,"– – – – – прочей разделки (например, ""обезглавленный"")",-,
303592900,– – – – прочий,-,
303599000,– – – прочие,,
303599001,– – – – мойва (Mallotus villosus),-,"0,06"
303599009,– – – – прочие,-,"0,06"
30360,"– [с 01.01.17] рыба семейств Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae и Muraenolepididae, за исключением пищевых рыбных субпродуктов субпозиций 0303 91 - 0303 99/[по 31.12.16] рыба семейств Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae и Muraenolepididae, за исключением печени, икры и молок",,
303630000,"– – треска (Gadus morhua, Gadus ogac, Gadus macrocephalus)",,
303631000,– – – вида Gadus morhua,-,"0,05"
303633000,– – – вида Gadus ogac,-,"0,05"
303639000,– – – вида Gadus macrocephalus,-,"0,05"
303640000,– – пикша (Melanogrammus aeglefinus),-,"0,05"
303650000,– – сайда (Pollachius virens),-,"0,05"
303660000,– – мерлуза (Merluccius spp.) и американский нитеперый налим (Urophycis spp.),,
303661000,– – – мерлуза рода Merluccius,,
303661100,– – – – мерлуза капская (мелководная) (Merluccius capensis) и мерлуза намибийская (глубоководная) (Merluccius paradoxus),-,"0,07"
303661200,– – – – мерлуза аргентинская (Merluccius hubbsi),-,"0,07"
303661300,– – – – мерлуза новозеландская (Merluccius australis),-,"0,07"
303661900,– – – – прочая,-,"0,07"
303669000,– – – американский нитеперый налим рода Urophycis,-,"0,07"
303670000,– – минтай (Theragra chalcogramma),-,"0,08"
303680000,"– – путассу (Micromesistius poutassou, Micromesistius australis)",,
303681000,– – – путассу северная (Micromesistius poutassou),-,
303689000,– – – путассу южная (Micromesistius australis),-,"0,08"
303690000,– – прочая,,
303691000,– – – рыба вида Boreogadus saida,-,"0,08"
303693000,– – – мерланг (Merlangius merlangus),-,"0,07"
303695000,– – – сайда серебристая (Pollachius pollachius),-,"0,08"
303697000,– – – макруронус новозеландский (Macruronus novaezealandiae),-,"0,08"
303698000,– – – мольва (Molva spp.),-,"0,08"
303699000,– – – прочая,-,"0,06"
30380,"– [с 01.01.17] рыба прочая, за исключением пищевых рыбных субпродуктов субпозиций 0303 91 - 0303 99/[по 31.12.16] рыба прочая, за исключением печени, икры и молок",,
303810000,– – акулы,,
303811000,– – – акула вида Squalus acanthias,-,"0,06"
303812000,– – – акула видов Scyliorhinus spp.,-,"0,06"
303813000,– – – акула сельдевая (Lamna nasus),-,"0,06"
303819000,– – – прочие,-,"0,06"
303820000,"– – [с 27.07.19] скаты и ромбовые скаты (Rajidae)/[по 26.07.19] скатовые, или ромбовые скаты (Rajidae)",-,"0,06"
303830000,– – клыкач (Dissostichus spp.),-,"0,06"
303840000,– – лаврак (Dicentrarchus spp.),,
303841000,– – – морской волк (Dicentrarchus labrax),-,"0,05"
303849000,– – – прочий,-,"0,05"
303890000,– – прочая,,
303891000,– – – пресноводная рыба,,
303891000,– – – – осетровые,,
303891000,– – – – – для промышленного производства продуктов товарной позиции 1604,,
303891010,– – – – – – неразделанные,-,"0,06"
303891020,– – – – – – без жабр и внутренностей,-,"0,06"
303891030,– – – – – – прочей разделки,-,"0,06"
303891060,– – – – – прочие,-,"0,06"
303891070,– – – – прочая,-,"0,06"
303892000,– – – прочая,,
303892000,"– – – – [с 01.01.22] рыба рода Euthynnus, кроме тунца полосатого (скипджека, полосатого бонито) (Katsuwonus pelamis), субпозиции 0303 43 и тунца малого пятнистого (Euthynnus affinis) подсубпозиций 0303 59 210, 0303 59 290 0/[по 31.12.21] рыба рода Euthynnus, кроме скипджека, или тунца полосатого (Euthynnus (Katsuwonus) pelamis), субпозиции 0303 43 и тунца малого пятнистого (Euthynnus affinis) подсубпозиций 0303 59 210, 0303 59 290 0",,
303892100,– – – – – для промышленного производства продуктов товарной позиции 1604,,
303892103,– – – – – – неразделанная,-,"0,08"
303892104,– – – – – – без жабр и внутренностей,-,"0,08"
303892108,"– – – – – – прочей разделки (например, ""обезглавленная"")",-,
303892900,– – – – – прочая,-,
303893000,– – – – окунь морской (Sebastes spp.),,
303893100,– – – – – вида Sebastes marinus,-,
303893900,– – – – – прочий,-,
303894000,– – – – рыба вида Orcynopsis unicolor,-,"0,08"
303895000,– – – – карась морской (Dentex dentex и Pagellus spp.),-,"0,08"
303895500,– – – – аурата (Sparus aurata),-,"0,06"
303896000,– – – – лещ морской обыкновенный (Brama spp.),-,"0,08"
303896500,– – – – удильщик (Lophius spp.),-,"0,08"
303897000,– – – – конгрио черный (Genypterus blacodes),-,"0,08"
303899000,– – – – прочая,,
303899003,– – – – – рыба вида Kathetostoma giganteum,-,"0,07"
303899007,– – – – – прочая,-,"0,06"
30390,"– [с 01.01.17] печень, икра, молоки, плавники, головы, хвосты, плавательные пузыри и прочие пищевые рыбные субпродукты/[по 31.12.16] печень, икра и молоки",,
303910000,"– – печень, икра и молоки",,
303911000,– – – икра и молоки для производства дезоксирибонуклеиновой кислоты или сульфата протамина,-,"0,03"
303919000,– – – прочие,-,"0,03"
303920000,– – плавники акульи,-,"0,06"
303990000,– – прочие,,
303990001,"– – – лососевых вида Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou или Oncorhynchus rhodurus; рыбы вида Pelotreis flavilatus или Peltorhamphus novaezealandiae; мерлузы рода Merluccius; американского нитеперого налима рода Urophycis; мерланга вида Merlangius merlangus; рыбы вида Kathetostoma giganteum",-,"0,07"
303990002,– – – лососевых других видов,-,"0,03"
303990003,"– – – скумбрии вида Scomber australasicus, Scomber scombrus или Scomber japonicus; сельди (Clupea harengus, Clupea pallasii); путассу северной (Micromesistius poutassou)",-,
