Код ТН ВЭД,Наименование позиции,Доп. ед. изм.,Ставка ввозной таможенной пошлины *
207143001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207143009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207144000,"– – – – – спинки, шейки, спинки вместе с шейкой, гузки и тонкие концы крыльев",,
207144001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207144009,– – – – – – прочие,-,80%
207145000,– – – – – грудки и куски из них,,
207145001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207145009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207146000,– – – – – ножки и куски из них,,
207146001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207146009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207147000,– – – – – прочие,,
207147001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207147009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207149000,– – – субпродукты,,
207149100,– – – – печень,,
207149101,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207149109,– – – – – прочая,-,"80%, но не менее 0.7евро/кг"
207149900,– – – – прочие,,
207149901,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207149909,– – – – – прочие,-,80%
20720,– индеек,,
207240000,"– – не разделенные на части, свежие или охлажденные",,
207241000,"– – – ощипанные и потрошеные, без головы и плюсен ног, но с шейкой, сердцем, печенью и мускульным желудком, представленные как ""80%-ные индейки""",,
207241001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207241009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207249000,"– – – ощипанные и потрошеные, без головы и плюсен ног, без шейки, сердца, печени и мускульного желудка, представленные как ""73%-ные индейки"", или представленные в какой-либо другой разделке",,
207249001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207249009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207250000,"– – не разделенные на части, замороженные",,
207251000,"– – – ощипанные и потрошеные, без головы и плюсен ног, но с шейкой, сердцем, печенью и мускульным желудком, представленные как ""80%-ные индейки""",,
207251001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207251009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207259000,"– – – ощипанные и потрошеные, без головы и плюсен ног, без шейки, сердца, печени и мускульного желудка, представленные как ""73%-ные индейки"", или представленные в какой-либо другой разделке",,
207259001,"– – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207259009,– – – – прочие,-,"80%, но не менее 0.7евро/кг"
207260000,"– – части тушек и субпродукты, свежие или охлажденные",,
207260000,– – – части тушек,,
207261000,– – – – мясо обваленное,,
207261001,"– – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207261009,– – – – – прочее,-,"80%, но не менее 0.7евро/кг"
207262000,– – – – необваленные,,
207262000,– – – – – половины или четвертины,,
207262001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207262009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207263000,"– – – – – крылья целые, с тонким концом или без него",,
207263001,"– – – – – – в порядке, указанном в дополнительном примечании Евразийского экономического союза 4 к группе 02",-,"25%, но не менее 0.2евро/кг"
207263009,– – – – – – прочие,-,"80%, но не менее 0.7евро/кг"
207264000,"– – – – – спинки, шейки, спинки вместе с шейкой, гузки и тонкие концы крыльев",,
